gene,cluster_1,cluster_2,cluster_3
mrpl15,0.593914356,0.435203039,0.281493949
lypla1,0.345766595,0.157963045,0.172487672
tcea1,0.382104417,0.256605719,0.299820532
atp6v1h,0.175760845,0.158200208,0.124337737
rb1cc1,0.133874358,0.159266136,0.146272751
x4732440d04rik,0.038234144,0.039631286,0.035695889
pcmtd1,0.191018666,0.245367864,0.159079692
rrs1,0.251666487,0.182753531,0.070367994
adhfe1,0,0.000684011,0.001531752
mybl1,0,0.001845519,0.00037207
vcpip1,0.093295975,0.100262288,0.071594352
x1700034p13rik,0,0,0.001660542
sgk3,0.031374065,0.03894078,0.121731812
mcmdc2,0,0.001572594,0.002296446
snhg6,0.487186935,0.266429804,0.302616435
cops5,0.425669579,0.347977243,0.293334801
cspp1,0.09046073,0.110313824,0.081977352
arfgef1,0.141969593,0.17062055,0.200203065
slco5a1,0,0.000292284,0.207468632
ncoa2,0.117767543,0.09444992,0.214344838
tram1,0.736554469,0.505161174,0.171484579
lactb2,0.132263352,0.079641471,0.056468485
eya1,0,0.05943439,0.001523787
terf1,0.122692985,0.139408034,0.056365749
rpl7,3.43674551,3.365358253,2.950840784
rdh10,0.016423076,0.012176075,0.001921075
stau2,0.002829424,0.002989553,0.005480314
ube2w,0.150190301,0.151858645,0.223779637
tceb1,1.078814686,0.753950255,1.183186449
tmem70,0.259650763,0.165488294,0.239033732
ly96,0.036563042,0.042282038,0.255520057
mcm3,0.299943725,0.135867621,0.088512259
paqr8,0.003270339,0.003182997,0.014687433
tram2,0.021499354,0.010659873,0.008087045
tmem14a,0.030732494,0.039274702,0.008671592
gm28836,0.003262402,0.02474997,0.006025433
khdc1a,0.01076321,0.386546993,0.010472552
khdc1c,0.005615959,0.174216753,0
khdc1b,0,0.036407685,0
kcnq5,0.01222307,0.024582948,0
ogfrl1,0.037611854,0.044625809,1.296934291
b3gat2,0,0,0
smap1,0.496917027,0.377241377,0.298877346
sdhaf4,0.258317257,0.233209514,0.129375458
fam135a,0.000878839,0.002055285,0
lmbrd1,0.145145692,0.149156611,0.08926367
phf3,0.311638633,0.337963087,0.257492977
ptp4a1,0.245652755,0.177995735,0.210722335
prim2,0.055802073,0.053857436,0.020104076
rab23,0.024255198,0.009083433,0.01598884
bag2,0.026205235,0.009254451,0.013396396
zfp451,0.068646718,0.065947161,0.091393684
bend6,0.00851121,0.012333311,0
dst,0.005355719,0.00327756,0.011081433
gm37233,0,0.000478167,0.006515471
ccdc115,0.254826877,0.28491109,0.139406055
imp4,0.372830019,0.313678525,0.195451735
ptpn18,2.031018428,2.100040513,0.558532836
x4930568a12rik,0.003589127,0.005631678,0
arhgef4,0.026200676,0.019456507,0.007603223
gm38336,0,0.002277293,0
fam168b,0.182309435,0.206185295,0.303651194
plekhb2,0.307107438,0.104666067,0.473555001
hs6st1,0.010816804,0.005734505,0.016668122
uggt1,0.167194921,0.120553787,0.080852434
neurl3,0.212362672,0.454740182,0.04511887
arid5a,0.218820644,0.232130646,0.130930455
x4930403p22rik,0.001024658,0.003943979,0
kansl3,0.113536065,0.132895042,0.280462077
lman2l,0.071884922,0.071064495,0.060802471
cnnm4,0.009830172,0.011899813,0.014166703
cnnm3,0.043731021,0.03517624,0.025759474
ankrd39,0.167777738,0.122410901,0.068631705
sema4c,0.033736049,0.026466465,0.068858012
fam178b,0.014082431,0,0.026282775
cox5b,1.872585037,1.585256106,1.719302084
actr1b,0.169614289,0.113704387,0.063381154
zap70,0.959882677,0.438808099,0.043666763
tmem131,0.073573175,0.063070376,0.453024778
vwa3b,0,0.00293891,0.007533363
inpp4a,0.035247428,0.015998373,0.059509679
coa5,0.41318351,0.259110039,0.480852138
unc50,0.331792577,0.348698847,0.311830234
mgat4a,0.028436156,0.066644629,0.115301234
x2010300c02rik,0.044393225,0.075018282,0.000963224
tsga10,0.022562164,0.02877114,0.028670381
lipt1,0.020286156,0.009760441,0.004716746
mitd1,0.351650154,0.246063468,0.06455628
mrpl30,0.807504246,0.873767127,0.620596895
txndc9,0.607725663,0.425792054,0.59475735
eif5b,0.757229661,0.63186872,0.4822279
rev1,0.02955791,0.020454722,0.03664396
aff3,0.01051886,0.031696778,0.009369419
gm16152,0.009400253,0.041923905,0.002789876
chst10,0.037267473,0.006663794,0.018879593
pdcl3,0.497682306,0.45459458,0.550049929
rpl31,3.192016512,2.934373795,2.713482242
tbc1d8,0.010548362,0.009773048,0.618220831
cnot11,0.211748037,0.141440755,0.093033289
rnf149,0.158515682,0.141384865,0.160036142
creg2,0,0,0
map4k4,0.114670907,0.133818535,1.186300995
il1r2,0.180071282,0.011021752,0.130711262
gm16894,0.002412801,0.000443886,0
il1r1,0,0.000264413,0.005517496
il1rl2,0.005493847,0.004689093,0.007039108
il1rl1,0.01577574,0.003471462,0
il18r1,0.680402792,0.642016113,0.074001147
il18rap,0.356655318,0.399115198,0.032332164
slc9a4,0,0.000381313,0.001295044
mfsd9,0.00262914,0.00335043,0
mrps9,0.324063575,0.241047446,0.168490541
tgfbrap1,0.03063936,0.03574424,0.033613557
ai597479,0.024395776,0.015056119,0.011823889
fhl2,0.251759431,0.184251464,0.013028494
nck2,0.019327411,0.009106905,0.038294639
uxs1,0.11722223,0.076626289,0.190505426
tpp2,0.259141059,0.214860734,0.146917957
tex30,0.118661942,0.109064415,0.070467231
kdelc1,0.023480798,0.010567958,0.016935792
bivm,0.015185181,0.008265866,0.011145103
ercc5,0.054045109,0.039771632,0.018185804
col3a1,0,0,0.001358214
wdr75,0.092083448,0.067142574,0.029857597
slc40a1,0,0,0
slc39a10,0.048188065,0.022890351,0.030751388
x4933411e06rik,0,0.002945673,0.003165362
nabp1,0.57247595,0.553892676,0.539481598
gm17767,0.007738881,0.00164022,0.031366896
myo1b,0,0.005712811,0.005349428
stat4,0.372972224,0.550528053,1.258592151
